phone number,company_name,website,address,city,rating,reviews
+447426808162,Green Roofing (Bristol),http://www.greenroofingbristol.com/,"11 Pinecroft, Bristol BS14 0AB, UK",Bristol,4.3,36
+441179502610,The Roofing Company (Bristol) Ltd,https://www.roofingcompanybristolltd.co.uk/,"Unit 1, Perrocot, Hallen Road, Hallen, Bristol BS10 7RP, UK",Hallen,4.1,9
+442081681696,London City Roofers,,London (no street address published),,,0
+442039664113,Kinson & Birch Roofing Contractors Ltd,,"Arch 141, Macfarlane Road, London W12 7RA",,,0
+442089453112,Total Roofing London Ltd,,"20-22 Wenlock Road, London N1 7GU",,,0
