phone number,company_name,website,address,city,rating,reviews
+447388839522,Affordable Roofing & Guttering Services,https://affordableroofingandgutteringservices.co.uk/index.html,"34 Great Swanmoor Cl, Stoke Gifford, Bristol BS34 8AB, UK",Stoke Gifford,4.8,96
+447716671579,Roofing Solutions (SW) LTD,http://www.roofingsolutions-sw.co.uk/,"Unit 909, Admirals Yard, Station Rd, Little Stoke, Bristol BS34 6LR, UK",Little Stoke,4.7,66
+447848256099,Victoria Roofing Expert Ltd,,"188 Camden High St, London NW1 8QP",,,0
+442077335265,Dulwich Roofing Contractors,,"157 Herne Hill, London SE24 9LR",,,0
+447534288217,Como Roofing UK Ltd,,"124 City Rd, London EC1V 2NX",,,0
