phone number,company_name,website,address,city,rating,reviews
+447848027477,S.A.G Roofing Bristol,http://www.sagroofingbristol.com/,"8 broad, Bristol BS34 5FS, UK",Bristol,4.9,39
+447388839522,Affordable Roofing & Guttering Services,https://affordableroofingandgutteringservices.co.uk/index.html,"34 Great Swanmoor Cl, Stoke Gifford, Bristol BS34 8AB, UK",Stoke Gifford,4.8,96
+447716671579,Roofing Solutions (SW) LTD,http://www.roofingsolutions-sw.co.uk/,"Unit 909, Admirals Yard, Station Rd, Little Stoke, Bristol BS34 6LR, UK",Little Stoke,4.7,66
