phone number,ignore e164 validation,dynamic variable1,dynamic variable2,metadata,custom_sip_headers
+18175897190,false,Storm Master Construction & Roofing,"Fort Worth, TX","{""company"": ""Storm Master Construction & Roofing"", ""city"": ""Fort Worth"", ""source"": ""official website""}",
+18179452011,false,Circle L Roofing,"Fort Worth, TX","{""company"": ""Circle L Roofing"", ""city"": ""Fort Worth"", ""source"": ""official website""}",
+14058767663,false,Artisan Roofing and Construction LLC,"Oklahoma City, OK","{""company"": ""Artisan Roofing and Construction LLC"", ""city"": ""Oklahoma City"", ""source"": ""official website""}",
+14057958700,false,Prestige Roofing General Contractors & Construction,"Oklahoma City, OK","{""company"": ""Prestige Roofing General Contractors & Construction"", ""city"": ""Oklahoma City"", ""source"": ""official website""}",
+14059922194,false,5Coat Roofing & Construction,"Oklahoma City, OK","{""company"": ""5Coat Roofing & Construction"", ""city"": ""Oklahoma City"", ""source"": ""official website""}",
+13038727750,false,Colorado Precision Roofing,"Denver, CO","{""company"": ""Colorado Precision Roofing"", ""city"": ""Denver"", ""source"": ""official website""}",
+13034553185,false,A-Denver Roofing,"Denver, CO","{""company"": ""A-Denver Roofing"", ""city"": ""Denver"", ""source"": ""official website""}",
