phone number,company_name,website,address,city,rating,reviews
+441179851861,G M Robinson Roofing Specialists Ltd,https://www.gmrobinsonroofing.com/,"9 Woodcroft Rd, Brislington, Bristol BS4 4QW, UK",Bristol,5.0,52
+447385643093,Roof & Build Property Maintenance,https://www.roofbuildpropertymaintenance.co.uk/,"10 Stillman Cl, Bristol BS13 8NS, UK",Bristol,5.0,46
+448004748321,Brunel Roofing Bristol LTD,http://brunelroofingandpropertyservices.co.uk/,"Brunel roofing, New World Business Centre, Station Rd, Warmley, Bristol BS30 8XG, UK",Warmley,5.0,46
+447526526107,Reform Roofing Limited,https://reformroofing.co.uk/,"2 Matthews Cl, Bristol BS14 8NL, UK",Bristol,5.0,43
+447377179832,Bristol Solar and Roofing Services,https://www.bristol-solar.co.uk/,"106 Cadbury Heath Rd, Barrs Court, Bristol BS30 8DQ, UK",Bristol,5.0,28
