phone number,ignore e164 validation,dynamic variable1,dynamic variable2,metadata,custom_sip_headers
+13034553185,false,A-Denver Roofing,"Denver, CO","{""company"": ""A-Denver Roofing"", ""city"": ""Denver"", ""source"": ""official website""}",
+13038727750,false,Colorado Precision Roofing,"Denver, CO","{""company"": ""Colorado Precision Roofing"", ""city"": ""Denver"", ""source"": ""official website""}",
+14059922194,false,5Coat Roofing & Construction,"Oklahoma City, OK","{""company"": ""5Coat Roofing & Construction"", ""city"": ""Oklahoma City"", ""source"": ""official website""}",
