phone number,company_name,website,address,city,rating,reviews
+447988084870,Fortress Roofing,https://fortressroofing.co.uk/,"162 Station Rd, Henbury, Bristol BS10 7NB, UK",Bristol,5.0,24
+447464157082,Blue Sky Roofing Bristol,https://www.blueskyroofingbristol.co.uk/,"162 Ambleside Ave, Bristol BS10 6HG, UK",Bristol,5.0,20
+447788213070,All Roofs South West Limited,https://www.allroofssouthwest.com/private,"9 S Liberty Ln, Bristol BS3 2SR, UK",Bristol,5.0,13
+441173778741,Sage Roofing South West,https://www.sageroofing.com/,"68 Downend Rd, Downend, Bristol BS16 5UE, UK",Bristol,4.9,56
+447361066363,Phoenix Roofing Ltd,https://www.phoenixroofingltd.co.uk/,"14, 15 Triangle S, Clifton, Bristol BS8 1EY, UK",Bristol,4.9,44
